id,text,date,likes,retweets,replies,city,category,source,clean_text,sarcasm,text_length,word_count,has_sarcasm,month,engagement_score,sentiment,sentiment_method,topic_id,topic_name
anon_pos_0071,gerakan solidaritas untuk korban kekerasan seksual kampus terus berkembang #MahasiswaAman #PPKS,2023-10-05,11,4,0,Jakarta,positive_support,synthetic,gerakan solidaritas korban kekerasan seksual kampus terus berkembang mahasiswaaman ppks,0,87,10,False,2023-10,19,POSITIF,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neg_0076,mahasiswi takut melapor kkerasan seksual di kampus karena takut dikeluarkan #PPKS #KampusAman,2023-09-30,10,1,1,Semarang,negative_fear,synthetic,mahasiswi takut melapor kekerasan seksual kampus takut dikeluarkan ppks kampusaman,0,82,10,False,2023-09,13,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0096,"kalo korban cerita di medsos langsung dikeroyok netizen kampus, gaslight abis",2022-11-25,28,1,3,Denpasar,negative_blaming,synthetic,korban cerita medsos langsung dikeroyok netizen kampus gaslight abis,0,68,9,False,2022-11,33,NEGATIF,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neu_0083,perlu regulasi yang lebih spesifik soal mekanisme sanksi dalam kasus ppks #MahasiswaAman #PPKS,2023-09-18,1,0,4,Medan,neutral_policy,synthetic,perlu regulasi spesifik soal mekanisme sanksi dalam kasus ppks mahasiswaaman ppks,0,81,11,False,2023-09,5,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neu_0048,implementasi ppks harus jadi syarat akreditasi perguruan tinggi oleh ban pt,2023-05-22,94,10,10,Jakarta,neutral_policy,synthetic,implementasi ppks harus syarat akreditasi perguruan tinggi oleh ban pt,0,70,10,False,2023-05,124,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neu_0009,anggaran satgas ppks di banyak kampus masih sangat minim perlu ditingkatkan #StopKekerasanSeksual,2022-01-30,6,3,5,Bandung,neutral_policy,synthetic,anggaran satgas ppks kampus sangat minim perlu ditingkatkan stopkekerasanseksual,0,80,9,False,2022-01,17,NEGATIF,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0000,sudah lapor ke satgas ppks tapi pelaku dosen masih ngajar biasa aja ga ada sanksi #StopKekerasanSeksual,2023-04-04,1,8,1,Denpasar,negative_sanction,synthetic,lapor satgas ppks pelaku dosen ngajar biasa sanksi stopkekerasanseksual,0,71,9,False,2023-04,18,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_pos_0143,komunitas kampus aman sangat membantu korban yg tidak tau harus kemana melapor,2023-10-22,9,3,3,Denpasar,positive_support,synthetic,komunitas kampus aman sangat membantu korban tau harus kemana melapor,0,69,10,False,2023-10,18,POSITIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_pos_0021,kampus gw akhirnya pecat dosen predator setelah mahasiswi berani lapor bareng #MahasiswaAman #PPKS,2022-10-03,33,3,1,Jakarta,positive_support,synthetic,kampus saya akhirnya pecat dosen predator setelah mahasiswi berani lapor bareng mahasiswaaman ppks,0,98,13,False,2022-10,40,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0039,tidak ada transparansi sama sekali soal proses penanganan kasus pelecehan seksual #MahasiswaAman #PPKS,2024-02-02,3,6,1,Bandung,negative_sanction,synthetic,transparansi sama sekali soal proses penanganan kasus pelecehan seksual mahasiswaaman ppks,0,90,11,False,2024-02,16,POSITIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0009,"victim blaming paling parah itu justru dari sesama mahasiswi, internalized misogyny #MahasiswaAman #PPKS",2023-02-25,19,9,4,Bandung,negative_blaming,synthetic,victim blaming paling sesama mahasiswi internalized misogyny mahasiswaaman ppks,0,79,9,False,2023-02,41,NETRAL,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0174,korban pelecehan seksual kampus dipaksa tanda tangan perjanjian bungkam wtf,2022-01-09,3,1,2,Yogyakarta,negative_fear,synthetic,korban pelecehan seksual kampus dipaksa tanda tangan perjanjian bungkam,0,71,9,False,2022-01,7,NEGATIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0091,"sanksi PPKS tidak transparan sama sekali, tidak ada kejelasan hukuman untuk pelaku #Permendikbud #PPKS",2023-06-30,99,11,9,Malang,negative_sanction,synthetic,sanksi ppks transparan sama sekali kejelasan hukuman pelaku permendikbud ppks,0,77,10,False,2023-06,130,NEGATIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0247,"regulasi ppks tidak punya gigi hukum yang kuat, pelaku gampang lolos dari sanksi #MahasiswaAman #PPKS",2024-05-19,5,0,2,Surabaya,negative_sanction,synthetic,regulasi ppks punya gigi hukum kuat pelaku gampang lolos sanksi mahasiswaaman ppks,0,82,12,False,2024-05,7,NEGATIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0210,korban takut lapor ke satgas ppks karena ancaman dari pelaku yg dosen,2022-06-04,7,5,2,Bandung,negative_fear,synthetic,korban takut lapor satgas ppks ancaman pelaku dosen,0,51,8,False,2022-06,19,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0235,gimana mau lapor kalau dosen yg lakokin adalah orang paling berkuasa di jurusan,2024-04-24,30,1,3,Medan,negative_fear,synthetic,gimana mau lapor dosen lakokin orang paling berkuasa jurusan,0,60,9,False,2024-04,35,NETRAL,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0101,trauma lapor kkerasan seksual ke kampus tapi malah dipermasalahkan balik #PPKS #KampusAman,2023-12-19,3,0,2,Semarang,negative_fear,synthetic,trauma lapor kekerasan seksual kampus dipermasalahkan balik ppks kampusaman,0,75,9,False,2023-12,5,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neu_0096,data kemenangan hukum korban pelecehan seksual kampus masih sangat rendah,2021-12-09,10,2,1,Yogyakarta,neutral_policy,synthetic,data kemenangan hukum korban pelecehan seksual kampus sangat rendah,0,67,9,False,2021-12,15,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neu_0012,satgas ppks perlu diperkuat dengan anggaran dan sdm yang memadai dari pusat #Permendikbud #PPKS,2023-06-27,112,6,3,Yogyakarta,neutral_policy,synthetic,satgas ppks perlu diperkuat anggaran sdm memadai pusat permendikbud ppks,0,72,10,False,2023-06,127,NETRAL,rule_based,1,Transparansi Sanksi & Akuntabilitas
anon_neu_0057,perlu ada hotline nasional khusus korban kekerasan seksual di perguruan tinggi #PPKS #KampusAman,2023-04-01,11,5,5,Denpasar,neutral_policy,synthetic,perlu hotline nasional khusus korban kekerasan seksual perguruan tinggi ppks kampusaman,0,87,11,False,2023-04,26,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0066,kemendikbud harus audit semua satgas ppks kampus yg tidak berfungsi dengan baik #MahasiswaAman #PPKS,2022-01-05,3,2,2,Denpasar,negative_sanction,synthetic,kemendikbud harus audit semua satgas ppks kampus berfungsi baik mahasiswaaman ppks,0,82,11,False,2022-01,9,POSITIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0139,korban bungkam krn kampus lebih lindungi nama baik institusi drpd mahasiswa #Permendikbud #PPKS,2023-11-16,1,43,0,Jakarta,negative_fear,synthetic,korban bungkam kampus lindungi nama baik institusi daripada mahasiswa permendikbud ppks,0,87,11,False,2023-11,87,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0081,"kalo korban cerita di medsos langsung dikeroyok netizen kampus, gaslight abis #PPKS #KampusAman",2022-03-10,32,4,1,Surabaya,negative_blaming,synthetic,korban cerita medsos langsung dikeroyok netizen kampus gaslight abis ppks kampusaman,0,84,11,False,2022-03,41,NEGATIF,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neg_0219,tidak ada transparansi sama sekali soal proses penanganan kasus pelecehan seksual,2024-01-19,12,4,0,Jakarta,negative_sanction,synthetic,transparansi sama sekali soal proses penanganan kasus pelecehan seksual,0,71,9,False,2024-01,20,POSITIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0090,sudah lapor ke satgas ppks tapi pelaku dosen masih ngajar biasa aja ga ada sanksi,2021-11-28,36,4,3,Jakarta,negative_sanction,synthetic,lapor satgas ppks pelaku dosen ngajar biasa sanksi,0,50,8,False,2021-11,47,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0198,sistem perlindungan korban di kampus cuma lip service doang gak ada actionnya #StopKekerasanSeksual,2022-04-11,13,3,1,Jakarta,negative_fear,synthetic,sistem perlindungan korban kampus cuma lip service doang actionnya stopkekerasanseksual,0,87,10,False,2022-04,20,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0147,"korban disalahkan atas pakaian dan perilakunya, bukan pelaku yg bertanggung jawab #StopKekerasanSeksual",2022-06-13,19,0,2,Surabaya,negative_blaming,synthetic,korban disalahkan atas pakaian perilakunya bukan pelaku bertanggung jawab stopkekerasanseksual,0,94,10,False,2022-06,21,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0044,"tidak ada empati untuk korban, justru penghakiman yang mereka terima #MahasiswaAman #PPKS",2022-09-15,0,7,1,Yogyakarta,negative_blaming,synthetic,empati korban penghakiman terima mahasiswaaman ppks,0,51,6,False,2022-09,15,NETRAL,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neu_0011,kemendikbud harus evaluasi implementasi ppks di seluruh perguruan tinggi indonesia #PPKS #KampusAman,2022-07-08,27,0,9,Denpasar,neutral_policy,synthetic,kemendikbud harus evaluasi implementasi ppks seluruh perguruan tinggi indonesia ppks kampusaman,0,95,11,False,2022-07,36,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0059,"rasa takut itu nyata, lapor justru bikin situasi korban makin susah #MahasiswaAman #PPKS",2023-12-03,5,2,1,Yogyakarta,negative_fear,synthetic,rasa takut nyata lapor bikin situasi korban makin susah mahasiswaaman ppks,0,74,11,False,2023-12,10,NEGATIF,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0048,permendikbud ppks bagus di atas kertas tapi implementasinya nol besar #Permendikbud #PPKS,2023-07-21,7,1,2,Medan,negative_sanction,synthetic,permendikbud ppks bagus atas kertas implementasinya nol besar permendikbud ppks,0,79,10,False,2023-07,11,NETRAL,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0096,takut lapor kkerasan seksual krn pasti di victim blaming sama pihak kampus #StopKekerasanSeksual,2022-07-04,9,2,2,Denpasar,negative_fear,synthetic,takut lapor kekerasan seksual pasti victim blaming sama pihak kampus stopkekerasanseksual,0,89,11,False,2022-07,15,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0032,dosen predator kampus ptn masih aktif mengajar padahal sdh banyak korban lapor,2022-05-19,2,6,1,Jakarta,negative_sanction,synthetic,dosen predator kampus perguruan tinggi negeri aktif mengajar padahal korban lapor,0,81,11,False,2022-05,15,NETRAL,rule_based,1,Transparansi Sanksi & Akuntabilitas
anon_neu_0084,riset menunjukkan 1 dari 3 mahasiswi pernah alami pelecehan seksual di kampus,2022-02-04,362,27,1,Surabaya,neutral_policy,synthetic,riset menunjukkan mahasiswi pernah alami pelecehan seksual kampus,0,65,8,False,2022-02,417,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0019,"sudah 6 bulan lapor, kasusnya masih diproses katanya, pelaku masih bebas ngajar #MahasiswaAman #PPKS",2023-09-06,1,5,3,Yogyakarta,negative_sanction,synthetic,bulan lapor kasusnya diproses katanya pelaku bebas ngajar mahasiswaaman ppks,0,76,10,False,2023-09,14,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0277,"bukti kgk diproses, pelapor malah dikucilkan teman2nya, ini beneran terjadi #StopKekerasanSeksual",2023-08-01,11,3,1,Yogyakarta,negative_fear,synthetic,bukti diproses pelapor dikucilkan teman2nya beneran terjadi stopkekerasanseksual,0,80,8,False,2023-08,18,NEGATIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_neu_0034,riset menunjukkan 1 dari 3 mahasiswi pernah alami pelecehan seksual di kampus #StopKekerasanSeksual,2022-04-04,3,0,1,Bandung,neutral_policy,synthetic,riset menunjukkan mahasiswi pernah alami pelecehan seksual kampus stopkekerasanseksual,0,86,9,False,2022-04,4,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0061,"teman2 di kampus justru membela pelaku pelecehan seksual, korban dikucilkan",2022-08-01,13,4,2,Jakarta,negative_blaming,synthetic,teman2 kampus membela pelaku pelecehan seksual korban dikucilkan,0,64,8,False,2022-08,23,NEGATIF,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neg_0159,tidak ada transparansi sama sekali soal proses penanganan kasus pelecehan seksual #StopKekerasanSeksual,2022-10-15,45,2,5,Denpasar,negative_sanction,synthetic,transparansi sama sekali soal proses penanganan kasus pelecehan seksual stopkekerasanseksual,0,92,10,False,2022-10,54,POSITIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_pos_0097,"semangat buat semua korban yg berani speak up, kalian tidak sendirian",2023-07-22,12,6,3,Yogyakarta,positive_support,synthetic,semangat buat semua korban berani speak up kalian sendirian,0,59,9,False,2023-07,27,POSITIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_pos_0139,"ppks seharusnya jadi standar minimum setiap kampus, dukungan penuh untuk regulasi #StopKekerasanSeksual",2022-03-03,8,2,1,Yogyakarta,positive_support,synthetic,ppks seharusnya standar minimum setiap kampus dukungan penuh regulasi stopkekerasanseksual,0,90,10,False,2022-03,13,POSITIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0261,takut lapor kkerasan seksual krn pasti di victim blaming sama pihak kampus #PPKS #KampusAman,2022-02-27,3,2,1,Jakarta,negative_fear,synthetic,takut lapor kekerasan seksual pasti victim blaming sama pihak kampus ppks kampusaman,0,84,12,False,2022-02,8,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0038,senior cowok di jurusan gw justify pelecehan seksual dengan bercanda doang kok #MahasiswaAman #PPKS,2024-06-07,2,4,7,Yogyakarta,negative_blaming,synthetic,senior cowok jurusan saya justify pelecehan seksual bercanda doang mahasiswaaman ppks,0,85,11,False,2024-06,17,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0023,"mahasiswi yg lapor malah disuruh damai aja sama rektorat, parah banget sistemnya #StopKekerasanSeksual",2024-02-05,3,2,1,Jakarta,negative_fear,synthetic,mahasiswi lapor disuruh damai sama rektorat banget sistemnya stopkekerasanseksual,0,81,9,False,2024-02,8,NEGATIF,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neg_0030,korban takut lapor ke satgas ppks karena ancaman dari pelaku yg dosen #StopKekerasanSeksual,2023-06-15,0,2,2,Jakarta,negative_fear,synthetic,korban takut lapor satgas ppks ancaman pelaku dosen stopkekerasanseksual,0,72,9,False,2023-06,6,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0077,media sosial kampus penuh victim blaming saat ada kasus kekerasan seksual muncul #StopKekerasanSeksual,2023-12-03,1,2,1,Bandung,negative_blaming,synthetic,media sosial kampus penuh victim blaming saat kasus kekerasan seksual muncul stopkekerasanseksual,0,97,12,False,2023-12,6,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0221,trauma lapor kkerasan seksual ke kampus tapi malah dipermasalahkan balik #Permendikbud #PPKS,2023-05-29,16,8,8,Yogyakarta,negative_fear,synthetic,trauma lapor kekerasan seksual kampus dipermasalahkan balik permendikbud ppks,0,77,9,False,2023-05,40,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_pos_0080,teman2 di bem kampus gw gencar sosialisasi ppks dan konseling gratis utk korban #StopKekerasanSeksual,2023-09-18,13,2,4,Jakarta,positive_support,synthetic,teman2 badan eksekutif mahasiswa kampus saya gencar sosialisasi ppks konseling gratis korban stopkekerasanseksual,0,113,13,False,2023-09,21,NETRAL,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neg_0209,"rasa takut itu nyata, lapor justru bikin situasi korban makin susah #StopKekerasanSeksual",2022-08-16,1,4,1,Denpasar,negative_fear,synthetic,rasa takut nyata lapor bikin situasi korban makin susah stopkekerasanseksual,0,76,10,False,2022-08,10,NEGATIF,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0064,"atmosfer kampus gw super toxic, korban yg lapor malah dianggap tukang bikin masalah",2023-06-17,15,2,3,Malang,negative_blaming,synthetic,atmosfer kampus saya super toxic korban lapor dianggap tukang bikin masalah,0,75,11,False,2023-06,22,NEGATIF,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0152,media sosial kampus penuh victim blaming saat ada kasus kekerasan seksual muncul #PPKS #KampusAman,2022-09-13,2,1,0,Jakarta,negative_blaming,synthetic,media sosial kampus penuh victim blaming saat kasus kekerasan seksual muncul ppks kampusaman,0,92,13,False,2022-09,4,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_pos_0126,kampus gw akhirnya pecat dosen predator setelah mahasiswi berani lapor bareng,2022-02-25,13,3,9,Surabaya,positive_support,synthetic,kampus saya akhirnya pecat dosen predator setelah mahasiswi berani lapor bareng,0,79,11,False,2022-02,28,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0070,gimana mau lapor kalau dosen yg lakokin adalah orang paling berkuasa di jurusan #Permendikbud #PPKS,2023-07-04,0,0,1,Bandung,negative_fear,synthetic,gimana mau lapor dosen lakokin orang paling berkuasa jurusan permendikbud ppks,0,78,11,False,2023-07,1,NETRAL,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0003,"dosen senior bilang korban pelecehan seksual harusnya jaga diri sendiri, gila ga sih #StopKekerasanSeksual",2021-11-27,5,1,2,Bandung,negative_blaming,synthetic,dosen senior bilang korban pelecehan seksual harusnya jaga diri sendiri stopkekerasanseksual,0,92,11,False,2021-11,9,NETRAL,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neg_0107,siapa yg berani lapor pelecehan seksual kalo pelakunya dosen pembimbing skripsi,2023-01-08,15,0,3,Surabaya,negative_fear,synthetic,siapa berani lapor pelecehan seksual pelakunya dosen pembimbing skripsi,0,71,9,False,2023-01,18,POSITIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0213,permendikbud ppks bagus di atas kertas tapi implementasinya nol besar #MahasiswaAman #PPKS,2024-02-09,10,2,0,Jakarta,negative_sanction,synthetic,permendikbud ppks bagus atas kertas implementasinya nol besar mahasiswaaman ppks,0,80,10,False,2024-02,14,NETRAL,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0050,"lingkungan kampus normalize pelecehan seksual, dianggap bercandaan biasa aja #MahasiswaAman #PPKS",2023-03-26,1,2,0,Bandung,negative_blaming,synthetic,lingkungan kampus normalize pelecehan seksual dianggap bercandaan biasa mahasiswaaman ppks,0,90,10,False,2023-03,5,NEGATIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_pos_0001,"satgas ppks kampus gw aktif dan responsif, korban dibantu dengan baik puji syukur #Permendikbud #PPKS",2024-06-19,2,1,2,Jakarta,positive_support,synthetic,satgas ppks kampus saya aktif responsif korban dibantu baik puji syukur permendikbud ppks,0,89,13,False,2024-06,6,POSITIF,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neg_0012,"sudah laporkan ke satgas tapi tidak ada kabar sampai sekarang, kemana hasilnya #StopKekerasanSeksual",2022-06-04,5,3,4,Makassar,negative_sanction,synthetic,laporkan satgas kabar sampai sekarang kemana hasilnya stopkekerasanseksual,0,74,8,False,2022-06,15,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0112,budaya patriarki di kampus bikin korban pelecehan seksual selalu disalahkan #Permendikbud #PPKS,2022-03-30,7,0,2,Makassar,negative_blaming,synthetic,budaya patriarki kampus bikin korban pelecehan seksual selalu disalahkan permendikbud ppks,0,90,11,False,2022-03,9,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0039,korban pelecehan seksual kampus dipaksa tanda tangan perjanjian bungkam wtf #StopKekerasanSeksual,2022-10-30,1,10,16,Jakarta,negative_fear,synthetic,korban pelecehan seksual kampus dipaksa tanda tangan perjanjian bungkam stopkekerasanseksual,0,92,10,False,2022-10,37,NEGATIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0049,"atmosfer kampus gw super toxic, korban yg lapor malah dianggap tukang bikin masalah #PPKS #KampusAman",2023-08-26,1,11,1,Yogyakarta,negative_blaming,synthetic,atmosfer kampus saya super toxic korban lapor dianggap tukang bikin masalah ppks kampusaman,0,91,13,False,2023-08,24,NEGATIF,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0027,"sudah laporkan ke satgas tapi tidak ada kabar sampai sekarang, kemana hasilnya #PPKS #KampusAman",2021-12-18,138,5,3,Malang,negative_sanction,synthetic,laporkan satgas kabar sampai sekarang kemana hasilnya ppks kampusaman,0,69,9,False,2021-12,151,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0139,"atmosfer kampus gw super toxic, korban yg lapor malah dianggap tukang bikin masalah #StopKekerasanSeksual",2021-11-23,6,2,4,Yogyakarta,negative_blaming,synthetic,atmosfer kampus saya super toxic korban lapor dianggap tukang bikin masalah stopkekerasanseksual,0,96,12,False,2021-11,14,NEGATIF,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0066,takut lapor kkerasan seksual krn pasti di victim blaming sama pihak kampus #Permendikbud #PPKS,2022-02-02,4,1,9,Surabaya,negative_fear,synthetic,takut lapor kekerasan seksual pasti victim blaming sama pihak kampus permendikbud ppks,0,86,12,False,2022-02,15,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0275,"satgas ppks kampus gw cuma formalitas, ga ada yg beneran bantu korban #MahasiswaAman #PPKS",2022-11-08,4,0,1,Surabaya,negative_fear,synthetic,satgas ppks kampus saya cuma formalitas beneran bantu korban mahasiswaaman ppks,0,79,11,False,2022-11,5,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0067,"bukti kgk diproses, pelapor malah dikucilkan teman2nya, ini beneran terjadi #PPKS #KampusAman",2024-03-31,12,3,8,Surabaya,negative_fear,synthetic,bukti diproses pelapor dikucilkan teman2nya beneran terjadi ppks kampusaman,0,75,9,False,2024-03,26,NEGATIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0038,rektorat kampus lebih takut heboh di medsos drpd ngasih sanksi tegas ke pelaku #Permendikbud #PPKS,2022-06-13,1,15,0,Semarang,negative_sanction,synthetic,rektorat kampus takut heboh medsos daripada ngasih sanksi tegas pelaku permendikbud ppks,0,88,12,False,2022-06,31,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0008,senior cowok di jurusan gw justify pelecehan seksual dengan bercanda doang kok #PPKS #KampusAman,2023-12-22,16,0,0,Jakarta,negative_blaming,synthetic,senior cowok jurusan saya justify pelecehan seksual bercanda doang ppks kampusaman,0,82,11,False,2023-12,16,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_neu_0108,implementasi ppks harus jadi syarat akreditasi perguruan tinggi oleh ban pt #Permendikbud #PPKS,2022-06-28,2,4,2,Semarang,neutral_policy,synthetic,implementasi ppks harus syarat akreditasi perguruan tinggi oleh ban pt permendikbud ppks,0,88,12,False,2022-06,12,NETRAL,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0174,"victim blaming paling parah itu justru dari sesama mahasiswi, internalized misogyny #StopKekerasanSeksual",2023-05-04,32,14,3,Yogyakarta,negative_blaming,synthetic,victim blaming paling sesama mahasiswi internalized misogyny stopkekerasanseksual,0,81,8,False,2023-05,63,NETRAL,rule_based,3,Dukungan Solidaritas & Gerakan
anon_pos_0013,dukungan psikolog kampus sangat membantu korban dalam proses pemulihan,2021-11-22,5,13,1,Jakarta,positive_support,synthetic,dukungan psikolog kampus sangat membantu korban dalam proses pemulihan,0,70,9,False,2021-11,32,POSITIF,rule_based,1,Transparansi Sanksi & Akuntabilitas
