id,text,date,likes,retweets,replies,city,category,source
anon_neg_0091,"sanksi PPKS tidak transparan sama sekali, tidak ada kejelasan hukuman untuk pelaku #Permendikbud #PPKS",2023-06-30,99,11,9,Malang,negative_sanction,synthetic
anon_neg_0247,"regulasi ppks tidak punya gigi hukum yang kuat, pelaku gampang lolos dari sanksi #MahasiswaAman #PPKS",2024-05-19,5,0,2,Surabaya,negative_sanction,synthetic
anon_neg_0210,korban takut lapor ke satgas ppks karena ancaman dari pelaku yg dosen,2022-06-04,7,5,2,Bandung,negative_fear,synthetic
anon_neg_0235,gimana mau lapor kalau dosen yg lakokin adalah orang paling berkuasa di jurusan,2024-04-24,30,1,3,Medan,negative_fear,synthetic
anon_neg_0101,trauma lapor kkerasan seksual ke kampus tapi malah dipermasalahkan balik #PPKS #KampusAman,2023-12-19,3,0,2,Semarang,negative_fear,synthetic
anon_neu_0096,data kemenangan hukum korban pelecehan seksual kampus masih sangat rendah,2021-12-09,10,2,1,Yogyakarta,neutral_policy,synthetic
anon_neu_0012,satgas ppks perlu diperkuat dengan anggaran dan sdm yang memadai dari pusat #Permendikbud #PPKS,2023-06-27,112,6,3,Yogyakarta,neutral_policy,synthetic
anon_neu_0057,perlu ada hotline nasional khusus korban kekerasan seksual di perguruan tinggi #PPKS #KampusAman,2023-04-01,11,5,5,Denpasar,neutral_policy,synthetic
anon_neg_0066,kemendikbud harus audit semua satgas ppks kampus yg tidak berfungsi dengan baik #MahasiswaAman #PPKS,2022-01-05,3,2,2,Denpasar,negative_sanction,synthetic
anon_neg_0139,korban bungkam krn kampus lebih lindungi nama baik institusi drpd mahasiswa #Permendikbud #PPKS,2023-11-16,1,43,0,Jakarta,negative_fear,synthetic
anon_neg_0081,"kalo korban cerita di medsos langsung dikeroyok netizen kampus, gaslight abis #PPKS #KampusAman",2022-03-10,32,4,1,Surabaya,negative_blaming,synthetic
anon_neg_0219,tidak ada transparansi sama sekali soal proses penanganan kasus pelecehan seksual,2024-01-19,12,4,0,Jakarta,negative_sanction,synthetic
anon_neg_0090,sudah lapor ke satgas ppks tapi pelaku dosen masih ngajar biasa aja ga ada sanksi,2021-11-28,36,4,3,Jakarta,negative_sanction,synthetic
anon_neg_0198,sistem perlindungan korban di kampus cuma lip service doang gak ada actionnya #StopKekerasanSeksual,2022-04-11,13,3,1,Jakarta,negative_fear,synthetic
anon_neg_0147,"korban disalahkan atas pakaian dan perilakunya, bukan pelaku yg bertanggung jawab #StopKekerasanSeksual",2022-06-13,19,0,2,Surabaya,negative_blaming,synthetic
anon_neg_0044,"tidak ada empati untuk korban, justru penghakiman yang mereka terima #MahasiswaAman #PPKS",2022-09-15,0,7,1,Yogyakarta,negative_blaming,synthetic
anon_neu_0011,kemendikbud harus evaluasi implementasi ppks di seluruh perguruan tinggi indonesia #PPKS #KampusAman,2022-07-08,27,0,9,Denpasar,neutral_policy,synthetic
anon_neg_0059,"rasa takut itu nyata, lapor justru bikin situasi korban makin susah #MahasiswaAman #PPKS",2023-12-03,5,2,1,Yogyakarta,negative_fear,synthetic
anon_neg_0048,permendikbud ppks bagus di atas kertas tapi implementasinya nol besar #Permendikbud #PPKS,2023-07-21,7,1,2,Medan,negative_sanction,synthetic
anon_neg_0096,takut lapor kkerasan seksual krn pasti di victim blaming sama pihak kampus #StopKekerasanSeksual,2022-07-04,9,2,2,Denpasar,negative_fear,synthetic
anon_neg_0032,dosen predator kampus ptn masih aktif mengajar padahal sdh banyak korban lapor,2022-05-19,2,6,1,Jakarta,negative_sanction,synthetic
anon_neu_0084,riset menunjukkan 1 dari 3 mahasiswi pernah alami pelecehan seksual di kampus,2022-02-04,362,27,1,Surabaya,neutral_policy,synthetic
anon_neg_0019,"sudah 6 bulan lapor, kasusnya masih diproses katanya, pelaku masih bebas ngajar #MahasiswaAman #PPKS",2023-09-06,1,5,3,Yogyakarta,negative_sanction,synthetic
anon_neg_0277,"bukti kgk diproses, pelapor malah dikucilkan teman2nya, ini beneran terjadi #StopKekerasanSeksual",2023-08-01,11,3,1,Yogyakarta,negative_fear,synthetic
anon_neu_0034,riset menunjukkan 1 dari 3 mahasiswi pernah alami pelecehan seksual di kampus #StopKekerasanSeksual,2022-04-04,3,0,1,Bandung,neutral_policy,synthetic
anon_neg_0061,"teman2 di kampus justru membela pelaku pelecehan seksual, korban dikucilkan",2022-08-01,13,4,2,Jakarta,negative_blaming,synthetic
anon_neg_0159,tidak ada transparansi sama sekali soal proses penanganan kasus pelecehan seksual #StopKekerasanSeksual,2022-10-15,45,2,5,Denpasar,negative_sanction,synthetic
anon_pos_0097,"semangat buat semua korban yg berani speak up, kalian tidak sendirian",2023-07-22,12,6,3,Yogyakarta,positive_support,synthetic
anon_neg_0030,"korban pelecehan seksual kampus malah disalahkan krn pakaiannya, victim blaming parah",2023-02-17,1,3,11,Jakarta,negative_blaming,synthetic
anon_pos_0139,"ppks seharusnya jadi standar minimum setiap kampus, dukungan penuh untuk regulasi #StopKekerasanSeksual",2022-03-03,8,2,1,Yogyakarta,positive_support,synthetic
anon_neg_0261,takut lapor kkerasan seksual krn pasti di victim blaming sama pihak kampus #PPKS #KampusAman,2022-02-27,3,2,1,Jakarta,negative_fear,synthetic
anon_neg_0038,senior cowok di jurusan gw justify pelecehan seksual dengan bercanda doang kok #MahasiswaAman #PPKS,2024-06-07,2,4,7,Yogyakarta,negative_blaming,synthetic
anon_neg_0023,"mahasiswi yg lapor malah disuruh damai aja sama rektorat, parah banget sistemnya #StopKekerasanSeksual",2024-02-05,3,2,1,Jakarta,negative_fear,synthetic
anon_neg_0030,korban takut lapor ke satgas ppks karena ancaman dari pelaku yg dosen #StopKekerasanSeksual,2023-06-15,0,2,2,Jakarta,negative_fear,synthetic
anon_neg_0077,media sosial kampus penuh victim blaming saat ada kasus kekerasan seksual muncul #StopKekerasanSeksual,2023-12-03,1,2,1,Bandung,negative_blaming,synthetic
anon_neg_0010,gimana mau lapor kalau dosen yg lakokin adalah orang paling berkuasa di jurusan,2022-05-23,9,0,0,Denpasar,negative_fear,synthetic
anon_neg_0221,trauma lapor kkerasan seksual ke kampus tapi malah dipermasalahkan balik #Permendikbud #PPKS,2023-05-29,16,8,8,Yogyakarta,negative_fear,synthetic
anon_pos_0080,teman2 di bem kampus gw gencar sosialisasi ppks dan konseling gratis utk korban #StopKekerasanSeksual,2023-09-18,13,2,4,Jakarta,positive_support,synthetic
anon_neg_0016,"sanksi PPKS tidak transparan sama sekali, tidak ada kejelasan hukuman untuk pelaku #Permendikbud #PPKS",2023-01-27,10,1,2,Medan,negative_sanction,synthetic
anon_neg_0054,korban pelecehan seksual kampus dipaksa tanda tangan perjanjian bungkam wtf,2024-04-16,7,0,2,Surabaya,negative_fear,synthetic
anon_neg_0002,media sosial kampus penuh victim blaming saat ada kasus kekerasan seksual muncul #StopKekerasanSeksual,2023-07-12,8,3,1,Semarang,negative_blaming,synthetic
anon_neg_0209,"rasa takut itu nyata, lapor justru bikin situasi korban makin susah #StopKekerasanSeksual",2022-08-16,1,4,1,Denpasar,negative_fear,synthetic
anon_neg_0064,"atmosfer kampus gw super toxic, korban yg lapor malah dianggap tukang bikin masalah",2023-06-17,15,2,3,Malang,negative_blaming,synthetic
anon_neg_0152,media sosial kampus penuh victim blaming saat ada kasus kekerasan seksual muncul #PPKS #KampusAman,2022-09-13,2,1,0,Jakarta,negative_blaming,synthetic
anon_neg_0122,media sosial kampus penuh victim blaming saat ada kasus kekerasan seksual muncul #StopKekerasanSeksual,2023-02-14,12,4,11,Jakarta,negative_blaming,synthetic
anon_pos_0126,kampus gw akhirnya pecat dosen predator setelah mahasiswi berani lapor bareng,2022-02-25,13,3,9,Surabaya,positive_support,synthetic
anon_neg_0070,gimana mau lapor kalau dosen yg lakokin adalah orang paling berkuasa di jurusan #Permendikbud #PPKS,2023-07-04,0,0,1,Bandung,negative_fear,synthetic
anon_neg_0003,"dosen senior bilang korban pelecehan seksual harusnya jaga diri sendiri, gila ga sih #StopKekerasanSeksual",2021-11-27,5,1,2,Bandung,negative_blaming,synthetic
anon_neg_0107,siapa yg berani lapor pelecehan seksual kalo pelakunya dosen pembimbing skripsi,2023-01-08,15,0,3,Surabaya,negative_fear,synthetic
anon_neg_0213,permendikbud ppks bagus di atas kertas tapi implementasinya nol besar #MahasiswaAman #PPKS,2024-02-09,10,2,0,Jakarta,negative_sanction,synthetic
anon_neg_0050,"lingkungan kampus normalize pelecehan seksual, dianggap bercandaan biasa aja #MahasiswaAman #PPKS",2023-03-26,1,2,0,Bandung,negative_blaming,synthetic
anon_pos_0001,"satgas ppks kampus gw aktif dan responsif, korban dibantu dengan baik puji syukur #Permendikbud #PPKS",2024-06-19,2,1,2,Jakarta,positive_support,synthetic
anon_neg_0012,"sudah laporkan ke satgas tapi tidak ada kabar sampai sekarang, kemana hasilnya #StopKekerasanSeksual",2022-06-04,5,3,4,Makassar,negative_sanction,synthetic
anon_neg_0009,tidak ada transparansi sama sekali soal proses penanganan kasus pelecehan seksual,2022-09-05,11,0,23,Surabaya,negative_sanction,synthetic
anon_neg_0112,budaya patriarki di kampus bikin korban pelecehan seksual selalu disalahkan #Permendikbud #PPKS,2022-03-30,7,0,2,Makassar,negative_blaming,synthetic
anon_neg_0039,korban pelecehan seksual kampus dipaksa tanda tangan perjanjian bungkam wtf #StopKekerasanSeksual,2022-10-30,1,10,16,Jakarta,negative_fear,synthetic
anon_neg_0049,"atmosfer kampus gw super toxic, korban yg lapor malah dianggap tukang bikin masalah #PPKS #KampusAman",2023-08-26,1,11,1,Yogyakarta,negative_blaming,synthetic
anon_neg_0027,"sudah laporkan ke satgas tapi tidak ada kabar sampai sekarang, kemana hasilnya #PPKS #KampusAman",2021-12-18,138,5,3,Malang,negative_sanction,synthetic
anon_neg_0139,"atmosfer kampus gw super toxic, korban yg lapor malah dianggap tukang bikin masalah #StopKekerasanSeksual",2021-11-23,6,2,4,Yogyakarta,negative_blaming,synthetic
anon_neg_0066,takut lapor kkerasan seksual krn pasti di victim blaming sama pihak kampus #Permendikbud #PPKS,2022-02-02,4,1,9,Surabaya,negative_fear,synthetic
anon_neg_0275,"satgas ppks kampus gw cuma formalitas, ga ada yg beneran bantu korban #MahasiswaAman #PPKS",2022-11-08,4,0,1,Surabaya,negative_fear,synthetic
anon_neg_0067,"bukti kgk diproses, pelapor malah dikucilkan teman2nya, ini beneran terjadi #PPKS #KampusAman",2024-03-31,12,3,8,Surabaya,negative_fear,synthetic
anon_neg_0038,rektorat kampus lebih takut heboh di medsos drpd ngasih sanksi tegas ke pelaku #Permendikbud #PPKS,2022-06-13,1,15,0,Semarang,negative_sanction,synthetic
anon_neg_0008,senior cowok di jurusan gw justify pelecehan seksual dengan bercanda doang kok #PPKS #KampusAman,2023-12-22,16,0,0,Jakarta,negative_blaming,synthetic
anon_neu_0108,implementasi ppks harus jadi syarat akreditasi perguruan tinggi oleh ban pt #Permendikbud #PPKS,2022-06-28,2,4,2,Semarang,neutral_policy,synthetic
anon_neg_0174,"victim blaming paling parah itu justru dari sesama mahasiswi, internalized misogyny #StopKekerasanSeksual",2023-05-04,32,14,3,Yogyakarta,negative_blaming,synthetic
anon_pos_0013,dukungan psikolog kampus sangat membantu korban dalam proses pemulihan,2021-11-22,5,13,1,Jakarta,positive_support,synthetic
anon_neg_0047,dosen predator kampus ptn masih aktif mengajar padahal sdh banyak korban lapor,2022-09-21,5,0,1,Bandung,negative_sanction,synthetic
anon_neg_0102,"sudah laporkan ke satgas tapi tidak ada kabar sampai sekarang, kemana hasilnya #PPKS #KampusAman",2023-02-25,34,5,1,Jakarta,negative_sanction,synthetic
anon_neg_0171,kemendikbud harus audit semua satgas ppks kampus yg tidak berfungsi dengan baik #PPKS #KampusAman,2022-02-04,27,5,1,Jakarta,negative_sanction,synthetic
anon_neg_0242,dosen predator kampus ptn masih aktif mengajar padahal sdh banyak korban lapor #StopKekerasanSeksual,2024-01-16,3,2,1,Semarang,negative_sanction,synthetic
anon_neg_0218,"mahasiswi yg lapor malah disuruh damai aja sama rektorat, parah banget sistemnya #MahasiswaAman #PPKS",2023-08-15,4,2,0,Bandung,negative_fear,synthetic
anon_pos_0047,"gerakan kampus aman mulai berdampak, banyak mahasiswi berani speak up sekarang #Permendikbud #PPKS",2023-01-11,36,8,1,Bandung,positive_support,synthetic
anon_neg_0156,kemendikbud harus audit semua satgas ppks kampus yg tidak berfungsi dengan baik #StopKekerasanSeksual,2022-05-06,35,2,1,Malang,negative_sanction,synthetic
anon_pos_0024,progres bagus saat kampus mau transparan soal penanganan kasus pelecehan seksual #StopKekerasanSeksual,2024-03-29,5,2,2,Makassar,positive_support,synthetic
anon_neg_0088,korban pelecehan seksual kampus sering kali dipaksa diam demi kebaikan bersama #MahasiswaAman #PPKS,2022-04-06,2,1,3,Surabaya,negative_fear,synthetic
anon_neg_0063,sistem perlindungan korban di kampus cuma lip service doang gak ada actionnya,2022-12-14,3,10,4,Denpasar,negative_fear,synthetic
anon_pos_0086,gerakan solidaritas untuk korban kekerasan seksual kampus terus berkembang #StopKekerasanSeksual,2022-02-15,3,4,1,Bandung,positive_support,synthetic
anon_neg_0176,"pelaku mendapat simpati sementara korban dikucilkan, ini realita kampus kita #StopKekerasanSeksual",2023-09-20,47,6,3,Denpasar,negative_blaming,synthetic
anon_neg_0071,"PPKS hanya jadi regulasi di atas kertas saja, eksekusinya tidak ada sama sekali #Permendikbud #PPKS",2022-12-04,4,1,1,Jakarta,negative_sanction,synthetic
anon_neu_0046,data kemenangan hukum korban pelecehan seksual kampus masih sangat rendah,2023-04-04,10,3,0,Bandung,neutral_policy,synthetic
anon_neg_0256,mahasiswi takut melapor kkerasan seksual di kampus karena takut dikeluarkan #StopKekerasanSeksual,2022-08-13,4,0,1,Surabaya,negative_fear,synthetic
anon_neg_0095,"lingkungan kampus normalize pelecehan seksual, dianggap bercandaan biasa aja #StopKekerasanSeksual",2024-03-22,7,1,0,Denpasar,negative_blaming,synthetic
anon_neg_0104,"tidak ada empati untuk korban, justru penghakiman yang mereka terima #PPKS #KampusAman",2023-12-19,3,3,3,Makassar,negative_blaming,synthetic
anon_neg_0014,"tidak ada empati untuk korban, justru penghakiman yang mereka terima #Permendikbud #PPKS",2022-02-02,5,1,0,Yogyakarta,negative_blaming,synthetic
anon_neu_0069,anggaran satgas ppks di banyak kampus masih sangat minim perlu ditingkatkan #StopKekerasanSeksual,2022-02-05,3,2,2,Surabaya,neutral_policy,synthetic
anon_neg_0168,sistem perlindungan korban di kampus cuma lip service doang gak ada actionnya #PPKS #KampusAman,2023-06-22,4,14,1,Jakarta,negative_fear,synthetic
anon_neu_0027,perlu ada hotline nasional khusus korban kekerasan seksual di perguruan tinggi #MahasiswaAman #PPKS,2023-12-19,75,1,0,Semarang,neutral_policy,synthetic
anon_neg_0248,rektorat kampus lebih takut heboh di medsos drpd ngasih sanksi tegas ke pelaku #StopKekerasanSeksual,2024-02-25,7,3,6,Jakarta,negative_sanction,synthetic
anon_pos_0083,komunitas kampus aman sangat membantu korban yg tidak tau harus kemana melapor #Permendikbud #PPKS,2024-04-07,2,5,1,Jakarta,positive_support,synthetic
anon_neu_0095,diskusi panel tentang reformasi ppks di perguruan tinggi indonesia perlu dilanjutkan,2024-03-05,85,2,7,Bogor,neutral_policy,synthetic
anon_pos_0076,"satgas ppks kampus gw aktif dan responsif, korban dibantu dengan baik puji syukur #StopKekerasanSeksual",2024-02-10,6,5,0,Jakarta,positive_support,synthetic
anon_neg_0086,trauma lapor kkerasan seksual ke kampus tapi malah dipermasalahkan balik #StopKekerasanSeksual,2024-03-11,15,5,2,Jakarta,negative_fear,synthetic
anon_neg_0152,dosen predator kampus ptn masih aktif mengajar padahal sdh banyak korban lapor #Permendikbud #PPKS,2023-06-07,5,7,5,Malang,negative_sanction,synthetic
anon_neg_0184,korban bungkam krn kampus lebih lindungi nama baik institusi drpd mahasiswa #StopKekerasanSeksual,2022-07-03,3,7,1,Surabaya,negative_fear,synthetic
anon_neu_0088,implementasi ppks harus jadi syarat akreditasi perguruan tinggi oleh ban pt #MahasiswaAman #PPKS,2022-06-08,0,3,4,Bandung,neutral_policy,synthetic
anon_neg_0254,"transparansi dalam proses hukum PPKS sangat buruk, korban tidak tahu perkembangan #PPKS #KampusAman",2023-02-23,3,3,1,Jakarta,negative_sanction,synthetic
anon_neg_0014,"transparansi dalam proses hukum PPKS sangat buruk, korban tidak tahu perkembangan",2023-07-15,9,7,5,Jakarta,negative_sanction,synthetic
anon_neu_0002,satgas ppks perlu diperkuat dengan anggaran dan sdm yang memadai dari pusat #Permendikbud #PPKS,2023-06-11,13,4,2,Jakarta,neutral_policy,synthetic
anon_neg_0145,pelaku pelecehan seksual di kampus lolos terus karena tidak ada mekanisme sanksi #Permendikbud #PPKS,2023-02-20,1,3,6,Surabaya,negative_sanction,synthetic
anon_neg_0173,senior cowok di jurusan gw justify pelecehan seksual dengan bercanda doang kok #Permendikbud #PPKS,2021-11-15,7,0,4,Jakarta,negative_blaming,synthetic
anon_neg_0260,"satgas ppks kampus gw cuma formalitas, ga ada yg beneran bantu korban",2022-10-06,9,0,1,Jakarta,negative_fear,synthetic
anon_neg_0237,tidak ada safe space sama sekali buat korban pelecehan seksual di kampus ini #MahasiswaAman #PPKS,2024-06-05,2,4,3,Yogyakarta,negative_fear,synthetic
anon_neg_0019,"atmosfer kampus gw super toxic, korban yg lapor malah dianggap tukang bikin masalah #MahasiswaAman #PPKS",2022-10-04,3,7,1,Yogyakarta,negative_blaming,synthetic
anon_neg_0043,normalisasi pelecehan seksual di lingkungan kampus adalah masalah budaya serius #MahasiswaAman #PPKS,2023-10-28,3,0,0,Malang,negative_blaming,synthetic
anon_neg_0165,sudah lapor ke satgas ppks tapi pelaku dosen masih ngajar biasa aja ga ada sanksi #MahasiswaAman #PPKS,2023-11-08,27,3,3,Yogyakarta,negative_sanction,synthetic
anon_pos_0127,"semangat buat semua korban yg berani speak up, kalian tidak sendirian #StopKekerasanSeksual",2023-01-15,7,1,0,Surabaya,positive_support,synthetic
anon_pos_0060,"akhirnya ada teman yg berani share pengalaman kkerasan seksual di kampus, salut #PPKS #KampusAman",2024-03-23,1,3,9,Denpasar,positive_support,synthetic
anon_neg_0059,"tidak ada empati untuk korban, justru penghakiman yang mereka terima #PPKS #KampusAman",2022-08-10,12,11,0,Surabaya,negative_blaming,synthetic
anon_pos_0109,"ppks seharusnya jadi standar minimum setiap kampus, dukungan penuh untuk regulasi",2022-06-09,230,3,1,Bandung,positive_support,synthetic
anon_neg_0265,gimana mau lapor kalau dosen yg lakokin adalah orang paling berkuasa di jurusan,2023-01-19,11,1,5,Semarang,negative_fear,synthetic
anon_neu_0105,diskusi panel tentang reformasi ppks di perguruan tinggi indonesia perlu dilanjutkan #Permendikbud #PPKS,2022-11-09,4,13,2,Makassar,neutral_policy,synthetic
anon_neg_0249,tidak ada transparansi sama sekali soal proses penanganan kasus pelecehan seksual #MahasiswaAman #PPKS,2022-01-13,1,2,4,Yogyakarta,negative_sanction,synthetic
anon_neg_0055,gimana mau lapor kalau dosen yg lakokin adalah orang paling berkuasa di jurusan #StopKekerasanSeksual,2022-06-06,14,1,6,Bandung,negative_fear,synthetic
anon_neg_0120,korban takut lapor ke satgas ppks karena ancaman dari pelaku yg dosen #PPKS #KampusAman,2023-10-26,78,2,1,Medan,negative_fear,synthetic
anon_neg_0215,"satgas ppks kampus gw cuma formalitas, ga ada yg beneran bantu korban #Permendikbud #PPKS",2024-02-28,21,5,2,Semarang,negative_fear,synthetic
anon_neg_0025,gimana mau lapor kalau dosen yg lakokin adalah orang paling berkuasa di jurusan #Permendikbud #PPKS,2023-05-04,13,10,2,Medan,negative_fear,synthetic
anon_neg_0072,tidak ada safe space sama sekali buat korban pelecehan seksual di kampus ini #Permendikbud #PPKS,2023-07-04,41,0,5,Surabaya,negative_fear,synthetic
anon_neg_0044,"rasa takut itu nyata, lapor justru bikin situasi korban makin susah #MahasiswaAman #PPKS",2022-04-17,29,1,4,Surabaya,negative_fear,synthetic
anon_neg_0247,"bukti kgk diproses, pelapor malah dikucilkan teman2nya, ini beneran terjadi #PPKS #KampusAman",2022-11-27,4,8,6,Bandung,negative_fear,synthetic
anon_neg_0181,"teman2 di kampus justru membela pelaku pelecehan seksual, korban dikucilkan #PPKS #KampusAman",2023-07-28,2,3,4,Jakarta,negative_blaming,synthetic
anon_neg_0001,"sanksi PPKS tidak transparan sama sekali, tidak ada kejelasan hukuman untuk pelaku #StopKekerasanSeksual",2023-09-14,11,0,1,Jakarta,negative_sanction,synthetic
anon_neu_0003,perlu regulasi yang lebih spesifik soal mekanisme sanksi dalam kasus ppks #Permendikbud #PPKS,2023-10-28,6,4,1,Jakarta,neutral_policy,synthetic
anon_neu_0024,riset menunjukkan 1 dari 3 mahasiswi pernah alami pelecehan seksual di kampus #PPKS #KampusAman,2022-03-30,2,1,7,Bandung,neutral_policy,synthetic
anon_pos_0070,berkat PPKS akhirnya ada mekanisme formal yg bisa melindungi mahasiswi #StopKekerasanSeksual,2022-11-19,53,7,1,Makassar,positive_support,synthetic
anon_neg_0244,korban bungkam krn kampus lebih lindungi nama baik institusi drpd mahasiswa #Permendikbud #PPKS,2024-01-31,3,3,7,Surabaya,negative_fear,synthetic
anon_pos_0082,"semangat buat semua korban yg berani speak up, kalian tidak sendirian #StopKekerasanSeksual",2024-04-13,3,1,2,Bandung,positive_support,synthetic
anon_neg_0041,"PPKS hanya jadi regulasi di atas kertas saja, eksekusinya tidak ada sama sekali #PPKS #KampusAman",2023-05-25,96,4,1,Medan,negative_sanction,synthetic
anon_neg_0103,normalisasi pelecehan seksual di lingkungan kampus adalah masalah budaya serius #PPKS #KampusAman,2023-01-19,2,14,1,Surabaya,negative_blaming,synthetic
anon_neg_0158,"mahasiswi yg lapor malah disuruh damai aja sama rektorat, parah banget sistemnya #Permendikbud #PPKS",2022-07-30,12,17,1,Jakarta,negative_fear,synthetic
anon_neu_0087,perlu ada hotline nasional khusus korban kekerasan seksual di perguruan tinggi #StopKekerasanSeksual,2022-09-13,26,0,1,Malang,neutral_policy,synthetic
anon_neg_0149,"transparansi dalam proses hukum PPKS sangat buruk, korban tidak tahu perkembangan #MahasiswaAman #PPKS",2024-02-29,12,1,2,Medan,negative_sanction,synthetic
anon_neu_0051,kemendikbud harus evaluasi implementasi ppks di seluruh perguruan tinggi indonesia #MahasiswaAman #PPKS,2022-09-26,15,2,4,Yogyakarta,neutral_policy,synthetic
anon_neg_0182,dosen predator kampus ptn masih aktif mengajar padahal sdh banyak korban lapor #StopKekerasanSeksual,2022-07-16,5,1,12,Denpasar,negative_sanction,synthetic
anon_neg_0029,"transparansi dalam proses hukum PPKS sangat buruk, korban tidak tahu perkembangan",2024-03-20,6,2,3,Jakarta,negative_sanction,synthetic
anon_neg_0157,budaya patriarki di kampus bikin korban pelecehan seksual selalu disalahkan #Permendikbud #PPKS,2022-04-29,2,0,3,Surabaya,negative_blaming,synthetic
anon_neg_0060,korban takut lapor ke satgas ppks karena ancaman dari pelaku yg dosen,2023-05-06,16,0,1,Jakarta,negative_fear,synthetic
anon_pos_0144,progres bagus saat kampus mau transparan soal penanganan kasus pelecehan seksual #MahasiswaAman #PPKS,2023-03-28,6,0,7,Bandung,positive_support,synthetic
anon_neg_0055,komunitas kampus masih menganggap korban pelecehan sebagai pembuat onar,2022-03-29,6,5,0,Jakarta,negative_blaming,synthetic
anon_pos_0027,satgas ppks yang kompeten sangat dibutuhkan dan beberapa kampus sudah menunjukkan #MahasiswaAman #PPKS,2022-02-21,23,7,5,Surabaya,positive_support,synthetic
anon_neg_0109,"atmosfer kampus gw super toxic, korban yg lapor malah dianggap tukang bikin masalah #StopKekerasanSeksual",2024-01-25,17,23,1,Jakarta,negative_blaming,synthetic
anon_neg_0110,"lingkungan kampus normalize pelecehan seksual, dianggap bercandaan biasa aja #PPKS #KampusAman",2022-08-28,3,15,10,Makassar,negative_blaming,synthetic
